"Начисление и поступление налогов, сборов и страховых взносов в бюджетную систему Российской Федерации по основным видам экономической деятельности
по состоянию на 01.11.2022","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"тыс.рублей","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Код по ОКВЭД","Код строки","Начислено к уплате в текущем году в консолидированный бюджет Российской Федерации","Начислено по страховым взносам на обязательное социальное страхование","Поступило  платежей в консолидированный бюджет Российской Федерации, всего (гр.3=гр.4+гр.15+гр.18+гр.19+гр.26)","в том числе","","","","","","","","","","","","","","","","","","Поступило по страховым взносам на обязательное социальное страхование (гр.22=гр.23+гр.24+гр.25)","в том числе","","","Единый налоговый платеж физического лица"
"","","","","","","федеральные налоги и сборы, всего (гр.4= гр.5+гр.7+гр.9+гр.11+ гр.12+гр.14)","из них","","","","","","","","","","региональные налоги и сборы, всего (гр.15> или =гр.16+гр.17)","из них","","местные налоги и сборы","налоги, предусмо-тренные специа-льными налого-выми режи-мами *        (гр.19> или=гр.20+гр.21)","из них","","","Страховые взносы на обязательное пенсионное страхование, зачисляемые в Пенсионный фонд Российской Федерации","Страховые взносы на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством","Страховые взносы на обязательное медицинское страхование работающего населения, зачисляемые в бюджет Федерального фонда медицинского страхования",""
"","","","","","","","налог на прибыль организаций","","налог на доходы физических лиц","","налог на добавленную стоимость","","акцизы по подакцизным товарам","налоги и сборы  за пользование природными ресурсами (гр.12> или =гр.13)","из гр.12 -  налог на добычу полезных ископаемых","остальные федеральные налоги и сборы","","налог на имущество организаций","транспортный налог","","","Налог, взимаемый в связи с применением патентной системы налогообложения","налог на профессиональный доход","","","","",""
"","","","","","","","всего (гр.5> или =гр.6)","в том числе в федеральный бюджет","всего (гр7> или =гр.8)","в том числе в федеральный бюджет","всего (гр.9> или =гр.10)","в том числе на товары (работы, услуги), реализуемые на территории Российской Федерации","","","","","","","","","","","","","","","",""
"А","Б","В","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"ВСЕГО стр.1010 = стр.1015+стр.1036 + стр.1087+стр.1255 +стр.1259+стр.1270+стр.1295+ стр.1320+стр.1350+стр.1363+стр.1382+стр.1400+стр.1405+стр.1430+стр.1460 +стр.1465+стр.1470+стр.1490+стр.1497+стр.1506+стр.1512+стр.1513)","","1010","25,583,348","8,795,468","25,018,011","20,710,533","4,292,622","311,540","5,146,057","45,049","5,093,874","5,062,751","5,916,438","184,549","176,194","76,993","1,634,889","1,348,610","284,768","297,913","2,373,601","57,871","32,606","8,003,301","5,899,470","643,577","1,460,254","1,075"
"в том числе по организациям и индивидуальным предпринимателям с основным видом деятельности:","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Сельское, лесное хозяйство, охота, рыболовство, рыбоводство – всего в том числе:","А 01-03","1015","891,265","259,615","837,367","496,970","34,882","9,812","269,621","3,112","101,139","101,012","88,506","2,147","1,635","675","37,502","32,054","5,448","19,402","283,493","788","93","304,833","222,353","20,252","62,228","Х"
"растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях","А 01","1020","777,733","234,191","733,322","442,664","25,398","2,636","253,481","2,936","72,488","72,361","88,506","2,145","1,635","646","37,110","32,047","5,063","15,236","238,312","711","56","274,268","199,553","18,073","56,642","Х"
